x,psi_0,psi_1,psi_2,potential_scaled
0.505506,-0.066137,0.047281,0.022865,0.012777
0.515516,-0.065799,0.047972,0.021797,0.013288
0.525526,-0.065457,0.048649,0.020719,0.013809
0.535536,-0.065111,0.049313,0.019631,0.014340
0.545546,-0.064759,0.049964,0.018534,0.014881
0.555556,-0.064404,0.050601,0.017428,0.015432
0.565566,-0.064043,0.051224,0.016314,0.015993
0.575576,-0.063678,0.051834,0.015193,0.016564
0.585586,-0.063309,0.052430,0.014064,0.017146
0.595596,-0.062936,0.053012,0.012929,0.017737
0.605606,-0.062559,0.053580,0.011787,0.018338
0.615616,-0.062178,0.054133,0.010641,0.018949
0.625626,-0.061793,0.054673,0.009489,0.019570
0.635636,-0.061404,0.055198,0.008333,0.020202
0.645646,-0.061011,0.055709,0.007173,0.020843
0.655656,-0.060615,0.056205,0.006010,0.021494
0.665666,-0.060216,0.056687,0.004844,0.022156
0.675676,-0.059813,0.057155,0.003675,0.022827
0.685686,-0.059407,0.057608,0.002506,0.023508
0.695696,-0.058997,0.058046,0.001335,0.024200
0.705706,-0.058585,0.058470,0.000163,0.024901
0.715716,-0.058170,0.058879,-0.001009,0.025612
0.725726,-0.057751,0.059273,-0.002180,0.026334
0.735736,-0.057331,0.059652,-0.003350,0.027065
0.745746,-0.056907,0.060017,-0.004519,0.027807
0.755756,-0.056481,0.060368,-0.005686,0.028558
0.765766,-0.056052,0.060703,-0.006850,0.029320
0.775776,-0.055622,0.061024,-0.008011,0.030091
0.785786,-0.055189,0.061330,-0.009169,0.030873
0.795796,-0.054753,0.061622,-0.010322,0.031665
0.805806,-0.054316,0.061899,-0.011472,0.032466
0.815816,-0.053877,0.062161,-0.012616,0.033278
0.825826,-0.053436,0.062409,-0.013754,0.034099
0.835836,-0.052994,0.062642,-0.014887,0.034931
0.845846,-0.052550,0.062861,-0.016013,0.035773
0.855856,-0.052104,0.063065,-0.017133,0.036624
0.865866,-0.051657,0.063256,-0.018245,0.037486
0.875876,-0.051209,0.063431,-0.019349,0.038358
0.885886,-0.050759,0.063593,-0.020445,0.039240
0.895896,-0.050308,0.063741,-0.021533,0.040131
0.905906,-0.049857,0.063874,-0.022611,0.041033
0.915916,-0.049404,0.063994,-0.023680,0.041945
0.925926,-0.048951,0.064100,-0.024739,0.042867
0.935936,-0.048497,0.064192,-0.025788,0.043799
